idx,lat,lon,shape,aggTemp,aggPsal,nProf
10569,60.5,-50.5,"[[-50.0, 60.0], [-50.0, 61.0], [-51.0, 61.0], [-51.0, 60.0], [-50.0, 60.0]]",5.870058789,34.6222942577,17
10570,60.5,-49.5,"[[-49.0, 60.0], [-49.0, 61.0], [-50.0, 61.0], [-50.0, 60.0], [-49.0, 60.0]]",5.9430000441,34.6137139457,14
10578,60.5,-41.5,"[[-41.0, 60.0], [-41.0, 61.0], [-42.0, 61.0], [-42.0, 60.0], [-41.0, 60.0]]",3.9884444343,33.9544448853,9
10582,60.5,-37.5,"[[-37.0, 60.0], [-37.0, 61.0], [-38.0, 61.0], [-38.0, 60.0], [-37.0, 60.0]]",7.3701427323,34.7434278216,7
10584,60.5,-35.5,"[[-35.0, 60.0], [-35.0, 61.0], [-36.0, 61.0], [-36.0, 60.0], [-35.0, 60.0]]",7.3866923039,34.7173065772,13
10590,60.5,-29.5,"[[-29.0, 60.0], [-29.0, 61.0], [-30.0, 61.0], [-30.0, 60.0], [-29.0, 60.0]]",9.3133333524,34.9175008138,6
10594,60.5,-25.5,"[[-25.0, 60.0], [-25.0, 61.0], [-26.0, 61.0], [-26.0, 60.0], [-25.0, 60.0]]",9.8927502632,34.9074993134,4
10596,60.5,-23.5,"[[-23.0, 60.0], [-23.0, 61.0], [-24.0, 61.0], [-24.0, 60.0], [-23.0, 60.0]]",10.0989332835,34.9098665873,15
10597,60.5,-22.5,"[[-22.0, 60.0], [-22.0, 61.0], [-23.0, 61.0], [-23.0, 60.0], [-22.0, 60.0]]",10.3620499611,34.9371507645,20
10601,60.5,-18.5,"[[-18.0, 60.0], [-18.0, 61.0], [-19.0, 61.0], [-19.0, 60.0], [-18.0, 60.0]]",10.6561052423,34.9523152803,19
10606,60.5,-13.5,"[[-13.0, 60.0], [-13.0, 61.0], [-14.0, 61.0], [-14.0, 60.0], [-13.0, 60.0]]",10.8998421117,34.9985271253,19
10832,59.5,-147.5,"[[-147.0, 59.0], [-147.0, 60.0], [-148.0, 60.0], [-148.0, 59.0], [-147.0, 59.0]]",8.949384616,32.1099199148,13
10836,59.5,-143.5,"[[-143.0, 59.0], [-143.0, 60.0], [-144.0, 60.0], [-144.0, 59.0], [-143.0, 59.0]]",9.5125999451,32.4474006653,5
10924,59.5,-55.5,"[[-55.0, 59.0], [-55.0, 60.0], [-56.0, 60.0], [-56.0, 59.0], [-55.0, 59.0]]",5.2285862791,34.5502404838,29
10927,59.5,-52.5,"[[-52.0, 59.0], [-52.0, 60.0], [-53.0, 60.0], [-53.0, 59.0], [-52.0, 59.0]]",5.3734828686,34.5630184042,29
10932,59.5,-47.5,"[[-47.0, 59.0], [-47.0, 60.0], [-48.0, 60.0], [-48.0, 59.0], [-47.0, 59.0]]",6.3948571001,34.7549277714,14
10933,59.5,-46.5,"[[-46.0, 59.0], [-46.0, 60.0], [-47.0, 60.0], [-47.0, 59.0], [-46.0, 59.0]]",6.737764611,34.8748821932,17
10934,59.5,-45.5,"[[-45.0, 59.0], [-45.0, 60.0], [-46.0, 60.0], [-46.0, 59.0], [-45.0, 59.0]]",6.9279999733,34.8475712367,7
10941,59.5,-38.5,"[[-38.0, 59.0], [-38.0, 60.0], [-39.0, 60.0], [-39.0, 59.0], [-38.0, 59.0]]",7.1567777528,34.729388343,18
10942,59.5,-37.5,"[[-37.0, 59.0], [-37.0, 60.0], [-38.0, 60.0], [-38.0, 59.0], [-37.0, 59.0]]",7.4148572513,34.6914302281,7
10946,59.5,-33.5,"[[-33.0, 59.0], [-33.0, 60.0], [-34.0, 60.0], [-34.0, 59.0], [-33.0, 59.0]]",7.6499000072,34.6448005676,10
10948,59.5,-31.5,"[[-31.0, 59.0], [-31.0, 60.0], [-32.0, 60.0], [-32.0, 59.0], [-31.0, 59.0]]",8.6038518482,34.7294082642,27
10950,59.5,-29.5,"[[-29.0, 59.0], [-29.0, 60.0], [-30.0, 60.0], [-30.0, 59.0], [-29.0, 59.0]]",9.8101999283,34.8849983215,5
10955,59.5,-24.5,"[[-24.0, 59.0], [-24.0, 60.0], [-25.0, 60.0], [-25.0, 59.0], [-24.0, 59.0]]",10.0719998678,34.8993326823,3
10956,59.5,-23.5,"[[-23.0, 59.0], [-23.0, 60.0], [-24.0, 60.0], [-24.0, 59.0], [-23.0, 59.0]]",10.483600235,34.8868003845,5
10963,59.5,-16.5,"[[-16.0, 59.0], [-16.0, 60.0], [-17.0, 60.0], [-17.0, 59.0], [-16.0, 59.0]]",10.9732001305,35.0913993835,10
10964,59.5,-15.5,"[[-15.0, 59.0], [-15.0, 60.0], [-16.0, 60.0], [-16.0, 59.0], [-15.0, 59.0]]",10.8438890245,35.1583340963,9
10969,59.5,-10.5,"[[-10.0, 59.0], [-10.0, 60.0], [-11.0, 60.0], [-11.0, 59.0], [-10.0, 59.0]]",10.9398822223,33.0354705137,17
11147,59.5,167.5,"[[168.0, 59.0], [168.0, 60.0], [167.0, 60.0], [167.0, 59.0], [168.0, 59.0]]",3.46875,32.8628320694,4
11152,59.5,172.5,"[[173.0, 59.0], [173.0, 60.0], [172.0, 60.0], [172.0, 59.0], [173.0, 59.0]]",4.5636153588,32.9633087745,13
11161,58.5,-178.5,"[[-178.0, 58.0], [-178.0, 59.0], [-179.0, 59.0], [-179.0, 58.0], [-178.0, 58.0]]",6.7249230605,32.7652300321,13
11284,58.5,-55.5,"[[-55.0, 58.0], [-55.0, 59.0], [-56.0, 59.0], [-56.0, 58.0], [-55.0, 58.0]]",4.9041034271,34.4651380079,29
11285,58.5,-54.5,"[[-54.0, 58.0], [-54.0, 59.0], [-55.0, 59.0], [-55.0, 58.0], [-54.0, 58.0]]",4.9381785733,34.4920362745,28
11286,58.5,-53.5,"[[-53.0, 58.0], [-53.0, 59.0], [-54.0, 59.0], [-54.0, 58.0], [-53.0, 58.0]]",5.0255172993,34.5378498209,29
11287,58.5,-52.5,"[[-52.0, 58.0], [-52.0, 59.0], [-53.0, 59.0], [-53.0, 58.0], [-52.0, 58.0]]",5.4159334819,34.6328804016,15
11288,58.5,-51.5,"[[-51.0, 58.0], [-51.0, 59.0], [-52.0, 59.0], [-52.0, 58.0], [-51.0, 58.0]]",4.8880652345,34.6195585002,46
11295,58.5,-44.5,"[[-44.0, 58.0], [-44.0, 59.0], [-45.0, 59.0], [-45.0, 58.0], [-44.0, 58.0]]",6.907930999,34.8362789812,29
11300,58.5,-39.5,"[[-39.0, 58.0], [-39.0, 59.0], [-40.0, 59.0], [-40.0, 58.0], [-39.0, 58.0]]",6.9824999401,34.7469283513,14
11303,58.5,-36.5,"[[-36.0, 58.0], [-36.0, 59.0], [-37.0, 59.0], [-37.0, 58.0], [-36.0, 58.0]]",7.0809998512,34.7089996338,1
11304,58.5,-35.5,"[[-35.0, 58.0], [-35.0, 59.0], [-36.0, 59.0], [-36.0, 58.0], [-35.0, 58.0]]",7.9146999836,34.6117996216,10
11306,58.5,-33.5,"[[-33.0, 58.0], [-33.0, 59.0], [-34.0, 59.0], [-34.0, 58.0], [-33.0, 58.0]]",7.8978998184,34.6287006378,10
11309,58.5,-30.5,"[[-30.0, 58.0], [-30.0, 59.0], [-31.0, 59.0], [-31.0, 58.0], [-30.0, 58.0]]",9.3666872978,34.8720016479,16
11328,58.5,-11.5,"[[-11.0, 58.0], [-11.0, 59.0], [-12.0, 59.0], [-12.0, 58.0], [-11.0, 58.0]]",11.857999975,35.2822719921,11
