,,ALAMO,APEX,APEX Profiling Float,APEX-SBE,APEX_D,ARGOS,ARVOR,ARVOR_D,GPS,GTS,HM2000,IRIDIUM,NAVIS,NAVISIR,NAVIS_A,NEMO,NINJA,NINJA_D,NOVA,NOVA-SBE,Nova-SBE,PALACE,POPS_PROVOR,PROVOR,PROVOR-SBE,PROVOR_CTS3-DO-I,PROVOR_II,PROVOR_III,PROVOR_IV,PROVOR_MT,Primary sampling: averaged [],Primary sampling: discrete,S2A,S2X,SOLO,SOLO-W,SOLO_D,SOLO_II,SOLO_W,Usage : ../sh/read_csv_list.sh <,aoml,bodc,coriolis,csio,csiro,date,incois,jma,kma,kordi,meds,nProf,nmdis
89,,,5356,,190.0,,8664,163.0,,1182.0,2.0,,16.0,,,,35.0,,,,,,,12.0,860,,,4.0,,,8.0,,,,,1068,3.0,,52.0,395.0,,5233,301,1233,107,1062,2011-06-30,319,1142,149,98,335,10014,35.0
90,,,5498,,194.0,,8940,187.0,,1331.0,,,15.0,,,,90.0,,,,,,,12.0,932,,,21.0,,,4.0,,,,,1092,3.0,,52.0,506.0,,5320,309,1317,125,1097,2011-07-31,332,1303,151,102,335,10437,46.0
91,,,5526,,207.0,,8856,176.0,,1677.0,1.0,,18.0,,,,317.0,,,,,,,4.0,953,,,35.0,,,8.0,,,,,1072,3.0,,116.0,509.0,,5322,308,1368,143,1080,2011-08-31,336,1543,204,79,327,10756,46.0
92,4.0,,5665,,198.0,,8687,200.0,,1936.0,,,33.0,,,,279.0,,,,,,,,899,,,31.0,,,4.0,,,73.0,,1044,3.0,,186.0,496.0,,5542,299,1309,194,1071,2011-09-30,368,1439,186,76,313,10842,45.0
93,3.0,,6102,,206.0,,9188,227.0,,2114.0,8.0,,37.0,,,,281.0,,,,,,,,924,,,10.0,,,8.0,,,71.0,,1105,4.0,,221.0,574.0,,6110,330,1334,212,1148,2011-10-31,354,1417,189,83,316,11536,43.0
94,3.0,,5743,,195.0,,9003,248.0,,1734.0,9.0,,29.0,,,,248.0,,,,,,,,875,,,28.0,,,3.0,,,51.0,,1091,3.0,,189.0,579.0,,5581,367,1358,221,1206,2011-11-30,300,1327,180,77,298,10957,42.0
95,3.0,,6006,,201.0,,9398,271.0,,1868.0,17.0,,33.0,,,,336.0,,,,,,,,900,,,12.0,,,6.0,,,54.0,,1128,3.0,,197.0,591.0,,5740,398,1413,253,1287,2011-12-31,346,1452,164,82,308,11483,40.0
96,3.0,,6059,,192.0,,9400,281.0,,1869.0,18.0,,37.0,,,2.0,337.0,,,,,,,,877,,,13.0,,,3.0,,,53.0,,1113,3.0,,196.0,606.0,,5737,404,1410,269,1270,2012-01-31,389,1437,185,77,291,11510,41.0
97,3.0,,5712,,174.0,,8771,265.0,,1737.0,8.0,,35.0,,1.0,6.0,220.0,,,1.0,,,,,815,,,26.0,,,3.0,,,55.0,,1062,3.0,,190.0,568.0,,5379,390,1325,266,1207,2012-02-29,378,1226,160,72,270,10712,39.0
98,3.0,,6178,,193.0,,9378,329.0,,1906.0,3.0,,53.0,,6.0,11.0,171.0,,,3.0,,,,,782,,,32.0,,,6.0,,,61.0,,1150,3.0,,295.0,627.0,,5957,409,1443,303,1268,2012-03-31,394,1159,169,71,294,11509,42.0
